ID,Plot,Replicate,Bird Number,Period,Minute,Species,Sex,Detection Method,Distance,New Record,Counter-sing,Site,DateC,TimeC
292,1,1,1,1,1,BTBW,M,S,1,1,1,414,11-Jun-10,5:31
3048,1,1,1,1,1,BTBW,M,S,1,1,0,414,06-Jun-11,5:36
5045,1,1,1,1,1,NOPA,M,S,1,1,0,Barfield Lakes,04-Jun-12,7:24
1229,1,1,1,1,1,REVI,M,S,1,1,1,Beaver Basin,17-Jun-10,5:32
3412,1,1,1,1,1,REVI,M,S,1,1,0,Beaver Basin,16-Jun-11,6:19
7538,1,1,1,1,1,REVI,M,S,1,1,1,Beaver Basin,03-Jun-12,5:39
7634,1,1,1,1,1,BHVI,M,S,1,1,0,McMahon,04-Jun-12,5:30
1166,1,1,1,1,1,SWTH,U,C,1,1,0,Seven Lakes,25-Jun-10,7:30
3594,1,1,1,1,1,YBSA,M,O,1,1,0,Seven Lakes,18-Jun-11,6:36
5355,1,1,1,1,1,BTNW,M,S,1,1,0,Seven Lakes,09-Jun-12,7:02
331,1,1,1,1,1,SWTH,M,S,1,1,0,Spotted Hardwood,11-Jun-10,6:14
2974,1,1,1,1,1,WTSP,M,S,2,1,0,Spotted Hardwood,05-Jun-11,5:58
6162,1,1,1,1,1,REVI,M,S,1,1,1,Spotted Hardwood,06-Jun-12,8:05
3108,1,1,1,1,1,RUGR,M,O,2,1,0,Stuart Lake,06-Jun-11,6:24
5706,1,1,1,1,1,LEFL,M,S,1,1,1,Stuart Lake,06-Jun-12,6:01
3255,1,1,1,1,1,MYWA,M,S,1,1,0,Tahquamenon,07-Jun-11,6:34
8025,1,1,1,1,1,BTNW,M,S,1,1,0,Tahquamenon,08-Jun-12,6:07
7363,1,1,1,1,1,HAWO,U,C,1,1,0,West Branch,07-Jun-12,7:32
293,1,1,2,1,1,BTBW,M,S,1,1,1,414,11-Jun-10,5:31
3049,1,1,2,1,1,BTNW,M,S,2,1,0,414,06-Jun-11,5:36
5046,1,1,2,1,1,NAWA,M,S,1,1,1,Barfield Lakes,04-Jun-12,7:24
1230,1,1,2,1,1,REVI,M,S,1,1,1,Beaver Basin,17-Jun-10,5:32
3413,1,1,2,1,1,YBSA,M,O,1,1,0,Beaver Basin,16-Jun-11,6:19
7539,1,1,2,1,1,AMRO,M,S,2,1,1,Beaver Basin,03-Jun-12,5:39
7635,1,1,2,1,1,REVI,M,S,2,1,1,McMahon,04-Jun-12,5:30
1167,1,1,2,1,1,YBSA,U,C,1,1,0,Seven Lakes,25-Jun-10,7:30
3595,1,1,2,1,1,REVI,M,S,1,1,1,Seven Lakes,18-Jun-11,6:36
5356,1,1,2,1,1,WIWR,M,S,2,1,0,Seven Lakes,09-Jun-12,7:02
332,1,1,2,1,1,RBGR,M,S,1,1,0,Spotted Hardwood,11-Jun-10,6:14
2975,1,1,2,1,1,REVI,M,S,2,1,1,Spotted Hardwood,05-Jun-11,5:58
6163,1,1,2,1,1,LEFL,M,S,2,1,1,Spotted Hardwood,06-Jun-12,8:05
3109,1,1,2,1,1,BTBW,M,S,2,1,0,Stuart Lake,06-Jun-11,6:24
5707,1,1,2,1,1,REVI,M,S,1,1,1,Stuart Lake,06-Jun-12,6:01
3256,1,1,2,1,1,BTNW,M,S,1,1,1,Tahquamenon,07-Jun-11,6:34
8026,1,1,2,1,1,BLBW,M,S,1,1,0,Tahquamenon,08-Jun-12,6:07
7364,1,1,2,1,1,NAWA,M,S,1,1,1,West Branch,07-Jun-12,7:32
294,1,1,3,1,1,CSWA,M,S,1,1,0,414,11-Jun-10,5:31
3050,1,1,3,1,1,REVI,M,S,1,1,1,414,06-Jun-11,5:36
5047,1,1,3,1,1,MYWA,M,S,2,1,0,Barfield Lakes,04-Jun-12,7:24
1231,1,1,3,1,1,LEFL,U,C,1,1,1,Beaver Basin,17-Jun-10,5:32
3414,1,1,3,1,1,REVI,M,S,2,1,0,Beaver Basin,16-Jun-11,6:19
7540,1,1,3,1,1,AMRE,M,S,1,1,0,Beaver Basin,03-Jun-12,5:39
7636,1,1,3,1,1,CSWA,M,S,1,1,0,McMahon,04-Jun-12,5:30
1168,1,1,3,1,1,YBSA,U,C,1,1,0,Seven Lakes,25-Jun-10,7:30
3596,1,1,3,1,1,BTNW,M,S,2,1,0,Seven Lakes,18-Jun-11,6:36
5357,1,1,3,1,1,BAWW,M,S,1,1,0,Seven Lakes,09-Jun-12,7:02
333,1,1,3,1,1,BTBW,M,S,1,1,0,Spotted Hardwood,11-Jun-10,6:14
2976,1,1,3,1,1,REVI,M,S,2,1,0,Spotted Hardwood,05-Jun-11,5:58
